Highest_Charting_Position,Number_of_Times_Charted,Week_of_Highest_Charting,Week_of_Highest_Charting_year,Week_of_Highest_Charting_month,Week_of_Highest_Charting_day,Song_Name,Streams,Artist,Artist_Followers,Song_ID,Release_Date,Release_Date_year,Release_Date_month,Release_Date_day,Weeks_Charted,Weeks_Charted_year,Weeks_Charted_month,Weeks_Charted_day,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,Chord,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10,Genre_11
160,1,12/18/2020,2020,12,18,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),7170169,Mariah Carey,6931357,1Ri9P0ZPrqr6h0REDRdJBd,12/4/2020,2020,12,4,12/18/2020,2020,12,18,47,0.648,0.938,-3.298,0.115,0.034,0.056,78.496,200467,0.849,C#/Db,dance pop, pop, r&b, urban contemporary,,,,,,,
82,10,12/27/2019,2019,12,27,Truth Hurts,5024683,Lizzo,3991674,3HWzoMvoF3TQfYg4UPszDq,4/19/2019,2019,4,19,2/28/2020,2020,2,28,77,0.715,0.624,-3.046,0.114,0.11,0.123,158.087,173325,0.412,E,dance pop, escape room, minnesota hip hop, pop, pop rap, post-teen pop, trap queen,,,,
65,1,10/2/2020,2020,10,2,Rich Nigga Shit (feat. Young Thug),9129562,"21 Savage, Metro Boomin",9949044,3ruoIF2UnoXdzK8mR61ebq,10/2/2020,2020,10,2,10/2/2020,2020,10,2,73,0.825,0.733,-5.625,0.097,0.349,0.112,97.974,190331,0.62,C#/Db,atl hip hop, hip hop, rap, trap,,,,,,,
111,3,1/3/2020,2020,1,3,Nice To Meet Ya,5730427,Niall Horan,7564659,3cphb8kdsjElYR7r5icK3H,10/4/2019,2019,10,4,1/10/2020,2020,1,10,68,0.591,0.841,-4.351,0.03,0.012,0.395,109.034,158805,0.392,E,dance pop, pop, post-teen pop,,,,,,,,
159,1,12/18/2020,2020,12,18,Jingle Bells - Remastered 1999,7182262,Frank Sinatra,4953667,4HEOgBHRCExyYVeTyrXsnL,1957-09,,1957-09,,12/18/2020,2020,12,18,36,0.512,0.339,-13.119,0.05,0.727,0.098,174.609,120693,0.951,G#/Ab,adult standards, easy listening, lounge,,,,,,,,
29,6,2/28/2020,2020,2,28,Pero Ya No,4666658,Bad Bunny,36177712,75pQqzwgCjUOSSy5CpmAjy,2/29/2020,2020,2,29,4/3/2020,2020,4,3,72,0.882,0.612,-6.103,0.118,0.048,0.182,147.982,160638,0.742,E,latin, reggaeton, trap latino,,,,,,,,
152,1,12/11/2020,2020,12,11,Damaged,6763705,Kid Cudi,5002317,2n7Ao4nyESBa5ti8gcAbBt,12/11/2020,2020,12,11,12/11/2020,2020,12,11,57,0.625,0.581,-7.1,0.032,0.553,0.254,142.04,150853,0.267,G#/Ab,hip hop, ohio hip hop, pop rap, rap,,,,,,,
114,1,7/3/2020,2020,7,3,Bad Bitch From Tokyo (Intro),6144736,Pop Smoke,6852509,4OGIeHtYhRTJ8iW21UUyZW,7/3/2020,2020,7,3,7/3/2020,2020,7,3,59,0.645,0.64,-6.871,0.179,0.395,0.286,140.248,48000,0.674,A#/Bb,brooklyn drill,,,,,,,,,,
115,1,1/17/2020,2020,1,17,Still Learning,7050815,Halsey,15663384,2Mfv5HaqnI18Q9JRv9hqnn,1/17/2020,2020,1,17,1/17/2020,2020,1,17,59,0.708,0.661,-6.543,0.055,0.04,0.113,102.046,211784,0.317,C,dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop,,,,,
65,4,12/18/2020,2020,12,18,Run Rudolph Run - Single Version,5802508,Chuck Berry,1251372,47CIT5hMphuMQkpeyfGQTL,8/6/2021,2021,8,6,12/25/2020,2020,12,25,0,0.647,0.876,-5.662,0.185,0.881,0.26,151.925,162897,0.949,A#/Bb,,,,,,,,,,,
59,11,6/4/2021,2021,6,4,Sal y Perrea,6635076,Sech,8758283,5u7twkeask1VIyDeNTElSU,4/15/2021,2021,4,15,7/23/2021,2021,7,23,86,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,216510,0.813,A#/Bb,latin, panamanian pop, reggaeton, trap latino,,,,,,,
103,12,1/15/2021,2021,1,15,"All I Want - From ""High School Musical: The Musical: The Series""",5052801,Olivia Rodrigo,6313514,4Yxc55NX3tAXC2mHRAhtcW,11/27/2019,2019,11,27,1/29/2021,2021,1,29,76,0.376,0.43,-6.585,0.033,0.09,0.091,77.599,177323,0.129,C,pop,,,,,,,,,,
24,83,12/27/2019,2019,12,27,Sunflower - Spider-Man: Into the Spider-Verse,6546948,"Post Malone, Swae Lee",1250353,3KkXRkHbMCARz0aVfEt68P,12/14/2018,2018,12,14,7/23/2021,2021,7,23,82,0.76,0.479,-5.574,0.047,0.556,0.07,89.911,158040,0.913,D,,,,,,,,,,,
31,20,4/10/2020,2020,4,10,Skechers,4669248,DripReport,92356,2alc8VZAzDgdAsL2QMk3hu,1/12/2020,2020,1,12,7/24/2020,2020,7,24,73,0.903,0.327,-9.727,0.088,0.26,0.108,100.008,106000,0.274,C#/Db,viral rap,,,,,,,,,,
156,1,12/27/2019,2019,12,27,Combatchy (feat. MC Rebecca),5149797,"Anitta, Lexa, Luísa Sonza",10741972,2bPtwnrpFNEe8N7Q85kLHw,11/20/2019,2019,11,20,12/27/2019,2019,12,27,64,0.826,0.73,-3.032,0.081,0.383,0.02,150.134,157600,0.605,C#/Db,funk carioca, funk pop, pagode baiano, pop nacional,,,,,,,
46,2,7/10/2020,2020,7,10,Man Of The Year,6223001,Juice WRLD,19102888,7AvprzMsRJpybaalckaT8c,7/10/2020,2020,7,10,7/17/2020,2020,7,17,73,0.621,0.695,-5.124,0.091,0.006,0.086,173.966,136408,0.298,E,chicago rap, melodic rap,,,,,,,,,
24,31,7/23/2021,2021,7,23,Heat Waves,15089184,Glass Animals,1890510,3USxtqRwSYz57Ewm6wWRMp,8/7/2020,2020,8,7,7/23/2021,2021,7,23,85,0.761,0.525,-6.9,0.094,0.44,0.092,80.87,238805,0.531,B,gauze pop, indietronica, shiver pop,,,,,,,,
9,28,6/12/2020,2020,6,12,Party Girl,4878286,StaySolidRocky,150587,5RqR4ZCCKJDcBLIn4sih9l,4/21/2020,2020,4,21,11/20/2020,2020,11,20,77,0.728,0.431,-9.966,0.062,0.749,0.1,130.022,147800,0.629,F#/Gb,melodic rap,,,,,,,,,,
175,1,5/28/2021,2021,5,28,734,5368759,Juice WRLD,19085118,6vB8bdQCCTDDIH8fhRfuXA,5/28/2021,2021,5,28,5/28/2021,2021,5,28,75,0.663,0.545,-3.93,0.036,0.123,0.106,78.452,196147,0.344,D,chicago rap, melodic rap,,,,,,,,,
54,7,12/27/2019,2019,12,27,Psycho,4991751,Red Velvet,5688315,3CYH422oy1cZNoo0GTG1TK,12/23/2019,2019,12,23,2/7/2020,2020,2,7,76,0.664,0.666,-2.203,0.045,0.193,0.085,139.987,210560,0.405,G#/Ab,k-pop, k-pop girl group,,,,,,,,,
115,1,4/24/2020,2020,4,24,YOSEMITE,5686981,Travis Scott,17732077,7lAK3oHbfEnvUQWosrMMpR,8/3/2018,2018,8,3,4/24/2020,2020,4,24,75,0.785,0.554,-6.571,0.041,0.283,0.116,128.047,150043,0.144,C,rap, slap house,,,,,,,,,
2,49,11/20/2020,2020,11,20,Dynamite,11196819,BTS,37106176,4saklk6nie3yiGePpBwUoc,11/20/2020,2020,11,20,7/23/2021,2021,7,23,89,0.746,0.765,-4.41,0.099,0.011,0.094,114.044,199054,0.737,F#/Gb,k-pop, k-pop boy group,,,,,,,,,
63,4,2/28/2020,2020,2,28,25/8,4684378,Bad Bunny,36177712,4NqQaovM14WR2hNPMFxgjb,2/29/2020,2020,2,29,3/20/2020,2020,3,20,71,0.761,0.732,-5.469,0.055,0.092,0.072,151.982,243276,0.542,E,latin, reggaeton, trap latino,,,,,,,,
