Highest_Charting_Position,Number_of_Times_Charted,Week_of_Highest_Charting,Week_of_Highest_Charting_year,Week_of_Highest_Charting_month,Week_of_Highest_Charting_day,Song_Name,Streams,Artist,Artist_Followers,Song_ID,Release_Date,Release_Date_year,Release_Date_month,Release_Date_day,Weeks_Charted,Weeks_Charted_year,Weeks_Charted_month,Weeks_Charted_day,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,Chord,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10,Genre_11
197,1,12/25/2020,2020,12,25,Lance Individual,5152906,Jorge & Mateus,15019109,7GLWWrk1YlkPYqJK3ynIA0,11/13/2020,2020,11,13,12/25/2020,2020,12,25,72,0.752,0.62,-5.536,0.051,0.309,0.075,117.399,164459,0.962,F,sertanejo, sertanejo universitario,,,,,,,,,
19,3,1/22/2021,2021,1,22,Lo Vas A Olvidar (with ROSALÍA),5963380,Billie Eilish,47061119,0psS4i5YooJrXfDnGvWRLi,1/21/2021,2021,1,21,2/5/2021,2021,2,5,68,0.343,0.243,-14.66,0.078,0.721,0.067,135.154,203464,0.032,E,electropop, pop,,,,,,,,,
143,7,8/28/2020,2020,8,28,Money Trees,4632724,"Kendrick Lamar, Jay Rock",17931101,2HbKqm4o0w5wEeEFXm2sD4,2012,,2012,,9/25/2020,2020,9,25,75,0.716,0.531,-7.355,0.122,0.07,0.224,71.994,386907,0.344,G,conscious hip hop, hip hop, rap, west coast rap,,,,,,,
105,7,4/16/2021,2021,4,16,Liberdade (Quando o Grave Bate Forte),5378350,"Alok, Mc Don Juan, Dj GBR",10334543,2QLbRVzixE282JSQjBz2DG,12/18/2020,2020,12,18,5/28/2021,2021,5,28,80,0.81,0.789,-4.032,0.05,0.025,0.104,129.988,150462,0.432,F#/Gb,electro house, pop nacional, slap house,,,,,,,,
194,1,9/18/2020,2020,9,18,Hot Stuff,4569978,"Kygo, Donna Summer",7593792,00ETaeHUQ6lops3oWU1Wrt,9/18/2020,2020,9,18,9/18/2020,2020,9,18,71,0.681,0.773,-5.749,0.148,0.019,0.11,119.961,199008,0.429,F,edm, pop, pop dance, tropical house,,,,,,,
2,31,11/13/2020,2020,11,13,Therefore I Am,5265630,Billie Eilish,1250353,0aACcc1jEv2C6VSmmJbllJ,8/13/2021,2021,8,13,6/11/2021,2021,6,11,0,0.889,0.34,-7.773,0.07,0.218,0.055,94.009,174321,0.716,B,,,,,,,,,,,
180,1,8/7/2020,2020,8,7,PUNANI,4625985,6ix9ine,6514102,41xKiK40e7MFu1bqcGSz1d,8/2/2020,2020,8,2,8/7/2020,2020,8,7,58,0.841,0.541,-7.121,0.229,0.019,0.123,97.961,115255,0.42,A,emo rap, rap,,,,,,,,,
151,1,4/24/2020,2020,4,24,Houdini (feat. Swarmz & Tion Wayne),4914429,KSI,2010879,3lay6f81Lhy0qp2Uvp4cNJ,4/24/2020,2020,4,24,4/24/2020,2020,4,24,58,0.572,0.519,-8.054,0.243,0,0.129,100.453,169355,0.704,A#/Bb,uk hip hop,,,,,,,,,,
74,1,2/26/2021,2021,2,26,Only Wanna Be With You - Pokémon 25 Version,7464020,Post Malone,33663701,3SawmGBjjq8EOYZJV11cJm,2/25/2021,2021,2,25,2/26/2021,2021,2,26,72,0.47,0.709,-4.563,0.03,0.001,0.302,98.036,241360,0.247,G,dfw rap, melodic rap, rap,,,,,,,,
39,1,12/11/2020,2020,12,11,coney island (feat. The National),14385703,Taylor Swift,42227614,3k7ne7VmH43ZPWxPdvPUgR,12/11/2020,2020,12,11,12/11/2020,2020,12,11,64,0.537,0.537,-11.266,0.062,0.819,0.142,107.895,275320,0.292,G#/Ab,pop, post-teen pop,,,,,,,,,
6,47,11/6/2020,2020,11,6,What You Know Bout Love,5570735,Pop Smoke,6837946,1tkg4EHVoqnhR6iFEXb60y,7/3/2020,2020,7,3,7/23/2021,2021,7,23,85,0.709,0.548,-8.493,0.353,0.65,0.133,83.995,160000,0.543,A#/Bb,brooklyn drill,,,,,,,,,,
174,2,7/3/2020,2020,7,3,Narcos,4633313,Anuel AA,18306226,7mcdgAXmb35dakBnfDIv3q,5/29/2020,2020,5,29,7/10/2020,2020,7,10,68,0.614,0.746,-3.527,0.196,0.347,0.087,168.072,259250,0.601,A#/Bb,latin, reggaeton, reggaeton flow, trap boricua, trap latino,,,,,,
146,1,10/30/2020,2020,10,30,Thriller,5605234,Michael Jackson,19345579,7azo4rpSUh8nXgtonC6Pkq,9/27/2017,2017,9,27,10/30/2020,2020,10,30,68,0.764,0.887,-3.726,0.074,0.082,0.847,118.427,358053,0.72,B,pop, r&b, soul,,,,,,,,
144,27,4/2/2021,2021,4,2,Every Breath You Take,5379704,The Police,4339245,1JSTJqkT5qHq8MDJnJbRE1,6/17/1983,1983,6,17,7/23/2021,2021,7,23,83,0.82,0.452,-9.796,0.035,0.543,0.071,117.401,253920,0.74,C#/Db,album rock, art rock, classic rock, mellow gold, new wave, permanent wave, rock, soft rock,,,
176,9,2/12/2021,2021,2,12,Photograph,4974880,Ed Sheeran,83337783,1HNkqx9Ahdgi1Ixy2xkKkL,6/21/2014,2014,6,21,2/26/2021,2021,2,26,83,0.614,0.379,-10.48,0.048,0.607,0.099,107.989,258987,0.201,E,pop, uk pop,,,,,,,,,
76,4,6/18/2021,2021,6,18,Holiday,5883145,KSI,2008516,6nV2dFZXpv1JlqDWBeTXRl,6/18/2021,2021,6,18,7/16/2021,2021,7,16,81,0.356,0.684,-7.347,0.088,0.152,0.101,87.188,193733,0.347,G#/Ab,uk hip hop,,,,,,,,,,
49,1,2/28/2020,2020,2,28,That Way,12059592,Lil Uzi Vert,11821805,5raTDhlbxFDnpn89bxArdH,3/1/2020,2020,3,1,2/28/2020,2020,2,28,67,0.719,0.611,-5.01,0.04,0.058,0.155,129.962,212354,0.489,G,melodic rap, philly rap, rap, trap,,,,,,,
24,5,12/18/2020,2020,12,18,Happy Xmas (War Is Over) - Remastered 2010,9509781,"John Lennon, Yoko Ono",4313100,27RYrbL6S02LNVhDWVl38b,10/5/2010,2010,10,5,12/25/2020,2020,12,25,53,0.321,0.64,-10.023,0.032,0.28,0.718,146.172,214333,0.414,D,album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock,,,,
58,19,2/26/2021,2021,2,26,No Te Enamores - Remix,5218146,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",22718,2mM3gZ0BbPwPPMelbA8vgt,11/20/2020,2020,11,20,5/14/2021,2021,5,14,79,0.824,0.837,-4.603,0.107,0.573,0.271,100.021,289933,0.58,F,reggaeton, reggaeton flow, trap latino,,,,,,,,
168,1,3/12/2021,2021,3,12,DAYWALKER! (feat. CORPSE),5439646,Machine Gun Kelly,3868320,2NnJpRXIlx35Vij3bPZO0h,3/12/2021,2021,3,12,3/12/2021,2021,3,12,74,0.632,0.922,-2.173,0.079,0.006,0.093,88.972,137747,0.497,G,ohio hip hop, pop rap,,,,,,,,,
82,1,6/25/2021,2021,6,25,MASSA,8218423,"Tyler, The Creator",6777818,2goHCrsDJaflEwQ930ef0o,6/25/2021,2021,6,25,6/25/2021,2021,6,25,74,0.685,0.855,-6.724,0.438,0.329,0.301,157.181,223719,0.46,C#/Db,hip hop, rap,,,,,,,,,
129,1,7/16/2021,2021,7,16,Coupe,6161664,Pop Smoke,6837946,7LB3ilSpX1mSMKKztNTnu2,7/31/2021,2021,7,31,7/16/2021,2021,7,16,54,0.912,0.589,-7.476,0.2,0.033,0.08,135.921,123549,0.486,G#/Ab,brooklyn drill,,,,,,,,,,
147,1,3/13/2020,2020,3,13,Leaders (feat. NAV),5496780,Lil Uzi Vert,11821805,4D7NrSeqkTarBrJ80b2sBc,3/13/2020,2020,3,13,3/13/2020,2020,3,13,60,0.95,0.654,-5.895,0.307,0.074,0.138,132.936,194844,0.886,C,melodic rap, philly rap, rap, trap,,,,,,,
2,44,8/14/2020,2020,8,14,Laugh Now Cry Later (feat. Lil Durk),4916860,Drake,56308172,2SAqBLGA283SUiwJ3xOUVI,8/14/2020,2020,8,14,6/18/2021,2021,6,18,83,0.761,0.518,-8.871,0.134,0.244,0.107,133.976,261493,0.522,C,canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap,,,,,
65,5,8/28/2020,2020,8,28,Blastoff (feat. Juice Wrld & Trippie Redd),4628159,"Internet Money, Diplo",412466,2rFsFjq0D9JAmc0APpCO6P,8/29/2020,2020,8,29,9/25/2020,2020,9,25,70,0.761,0.517,-6.916,0.093,0.114,0.157,147.912,174730,0.46,F,pop rap, rap, trap,,,,,,,,
110,1,5/15/2020,2020,5,15,Trillionaire (feat. Youngboy Never Broke Again),6057848,Future,10491105,740kQ8xwSGloumdiKR5Cwz,5/15/2020,2020,5,15,5/15/2020,2020,5,15,61,0.768,0.526,-7.182,0.209,0.237,0.139,139.999,167552,0.473,C,atl hip hop, pop rap, rap, southern hip hop, trap,,,,,,
170,1,3/5/2021,2021,3,5,CHIAMAMI PER NOME,5321946,"Francesca Michielin, Fedez",568711,0ZqHo6eTBHUcOVjZzPvftT,3/3/2021,2021,3,3,3/5/2021,2021,3,5,67,0.641,0.636,-4.318,0.041,0.289,0.125,89.826,222667,0.285,A#/Bb,italian adult pop, italian indie pop, italian pop, italian pop rock,,,,,,,
112,10,7/3/2020,2020,7,3,Desce Pro Play (PA PA PA),4615520,"Mc Zaac, Anitta, Tyga",1555628,4zGtfOglDBfVUypabBwIjQ,6/26/2020,2020,6,26,9/4/2020,2020,9,4,68,0.935,0.71,-5.085,0.158,0.077,0.173,100.009,168507,0.635,B,funk carioca, funk pop,,,,,,,,,
158,1,1/8/2021,2021,1,8,Sand In My Boots,5446609,Morgan Wallen,2147875,0uRrG2jRR5tuifsYIJHEao,1/8/2021,2021,1,8,1/8/2021,2021,1,8,75,0.403,0.537,-6.628,0.031,0.59,0.112,69.877,202133,0.414,D#/Eb,contemporary country,,,,,,,,,,
65,7,12/27/2019,2019,12,27,Good as Hell (feat. Ariana Grande) - Remix,6066001,Lizzo,3991674,07Oz5StQ7GRoygNLaXs2pd,2016,,2016,,2/7/2020,2020,2,7,71,0.668,0.892,-3.001,0.065,0.298,0.735,95.927,159011,0.478,F,dance pop, escape room, minnesota hip hop, pop, pop rap, post-teen pop, trap queen,,,,
63,1,6/25/2021,2021,6,25,CORSO,9503981,"Tyler, The Creator",6777818,46oHvXwpEZOFX518we1nJD,6/25/2021,2021,6,25,6/25/2021,2021,6,25,77,0.703,0.845,-4.851,0.337,0.169,0.122,97.672,146482,0.745,A#/Bb,hip hop, rap,,,,,,,,,
138,4,7/23/2021,2021,7,23,Ficha Limpa,5847975,Gusttavo Lima,12969190,5SwyN9hzmWjBsINlif8li8,6/19/2021,2021,6,19,7/23/2021,2021,7,23,85,0.774,0.732,-4.227,0.031,0.108,0.243,135.005,192725,0.734,A,sertanejo, sertanejo universitario,,,,,,,,,
136,32,6/5/2020,2020,6,5,Youngblood,4390823,5 Seconds of Summer,7744095,2iUXsYOEPhVqEBwsqP70rE,6/15/2018,2018,6,15,8/21/2020,2020,8,21,80,0.596,0.854,-5.114,0.463,0.017,0.124,120.274,203418,0.152,G,boy band, dance pop, electropop, pop, post-teen pop,,,,,,
80,1,4/9/2021,2021,4,9,Fifteen (Taylor’s Version),7852063,Taylor Swift,42227614,2nqio0SfWg6gh2eCtfuMa5,4/9/2021,2021,4,9,4/9/2021,2021,4,9,66,0.559,0.646,-4.61,0.027,0.116,0.32,95.466,294419,0.289,G,pop, post-teen pop,,,,,,,,,
69,1,6/25/2021,2021,6,25,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),9142721,"Tyler, The Creator",6777818,3EG9FJ0ToLfgnc1IG2Z1wz,6/25/2021,2021,6,25,6/25/2021,2021,6,25,79,0.468,0.652,-4.912,0.072,0.333,0.55,140.223,588139,0.39,C,hip hop, rap,,,,,,,,,
171,1,11/27/2020,2020,11,27,CANTARES DE NAVIDAD,5842320,Trio Vegabajeño,36177712,2Iv6YBslkxslMJQsxshZh5,11/27/2020,2020,11,27,11/27/2020,2020,11,27,56,0.764,0.523,-7.371,0.041,0.777,0.352,118.671,199720,0.962,D,latin, reggaeton, trap latino,,,,,,,,
105,7,12/27/2019,2019,12,27,Con Calma,4861378,"Daddy Yankee, Snow",1251372,3GIhMWNecxw8GyCFwviF6v,8/12/2021,2021,8,12,2/7/2020,2020,2,7,3,0.737,0.86,-2.652,0.059,0.11,0.057,93.989,193227,0.656,G#/Ab,,,,,,,,,,,
35,3,10/2/2020,2020,10,2,Love To Hate Me,5125708,BLACKPINK,23848461,7iKDsPfLT0d5mu2htfMKBZ,10/2/2020,2020,10,2,10/16/2020,2020,10,16,69,0.686,0.64,-5.491,0.159,0.033,0.08,162.225,171798,0.597,G#/Ab,k-pop, k-pop girl group,,,,,,,,,
131,1,5/8/2020,2020,5,8,EN CASITA,5364262,"Bad Bunny, Gabriela",36177712,2DhNdoHxavs7Qtf5MnhZD0,5/10/2020,2020,5,10,5/8/2020,2020,5,8,62,0.779,0.764,-8.217,0.094,0.221,0.091,158.093,176440,0.675,C,latin, reggaeton, trap latino,,,,,,,,
152,2,6/25/2021,2021,6,25,All Eyes On Me,5347263,Bo Burnham,1042079,3rV5y8rcQrwRt9fWGLmjOQ,6/10/2021,2021,6,10,7/2/2021,2021,7,2,81,0.352,0.424,-10.131,0.039,0.733,0.066,127.047,302951,0.141,F#/Gb,comic,,,,,,,,,,
18,33,10/23/2020,2020,10,23,Put Your Records On,5181180,Ritt Momney,100463,6AGOKlMZWLCaEJGnaROtF9,4/24/2020,2020,4,24,4/23/2021,2021,4,23,81,0.399,0.491,-10.778,0.054,0.056,0.11,91.066,210463,0.151,F#/Gb,bedroom pop,,,,,,,,,,
5,1,7/23/2021,2021,7,23,INDUSTRY BABY (feat. Jack Harlow),33948454,Lil Nas X,5473565,27NovPIUIRrOZoCHxABJwK,7/23/2021,2021,7,23,7/23/2021,2021,7,23,96,0.736,0.704,-7.409,0.062,0.02,0.05,149.995,212000,0.894,D#/Eb,lgbtq+ hip hop, pop rap,,,,,,,,,
171,1,1/24/2020,2020,1,24,B.I.T.C.H.,5215211,Megan Thee Stallion,4794212,06scTb0zbkxYNgpAB3J9fN,1/24/2020,2020,1,24,1/24/2020,2020,1,24,59,0.742,0.731,-4.362,0.306,0.085,0.131,174.019,183143,0.547,B,houston rap, pop, pop rap, trap queen,,,,,,,
142,3,6/12/2020,2020,6,12,Emotionally Scarred,4633237,Lil Baby,7816213,7ge7BHazYbVKi8qyZUX1Bm,2/28/2020,2020,2,28,6/26/2020,2020,6,26,71,0.585,0.641,-4.269,0.133,0.029,0.316,88.284,197530,0.266,F#/Gb,atl hip hop, atl trap, rap, trap,,,,,,,
176,1,6/25/2021,2021,6,25,Payday (feat. Young Thug),5393789,Doja Cat,8640063,2HolBGR6tpiWI80MXoV1dJ,6/25/2021,2021,6,25,6/25/2021,2021,6,25,73,0.619,0.707,-5.791,0.05,0.037,0.13,168.995,212947,0.558,C#/Db,dance pop, pop,,,,,,,,,
75,1,5/29/2020,2020,5,29,Sine From Above (with Elton John),7734309,Lady Gaga,18585963,0zzsyWc45eUcSjw4FNHxeN,5/29/2020,2020,5,29,5/29/2020,2020,5,29,60,0.642,0.792,-5.746,0.049,0.158,0.68,122.965,244880,0.09,C,dance pop, pop, post-teen pop,,,,,,,,
104,16,2/5/2021,2021,2,5,Why'd You Only Call Me When You're High?,4976405,Arctic Monkeys,12375514,086myS9r57YsLbJpU0TgK9,9/9/2013,2013,9,9,4/16/2021,2021,4,16,82,0.691,0.631,-6.478,0.037,0.048,0.104,92.004,161124,0.8,D,garage rock, permanent wave, rock, sheffield indie,,,,,,,
77,14,2/28/2020,2020,2,28,Woah,4425610,Lil Baby,7816213,598yNsG1JFrGd4n2kMoz7F,11/8/2019,2019,11,8,4/3/2020,2020,4,3,69,0.882,0.602,-5.554,0.245,0.018,0.178,142.959,183011,0.43,B,atl hip hop, atl trap, rap, trap,,,,,,,
88,83,6/26/2020,2020,6,26,Believer,6699895,Imagine Dragons,35285425,0pqnGHJpmpxLKifKRmU6WP,6/23/2017,2017,6,23,7/23/2021,2021,7,23,86,0.776,0.78,-4.374,0.128,0.062,0.081,124.949,204347,0.666,A#/Bb,modern rock, pop, rock,,,,,,,,
175,4,7/2/2021,2021,7,2,MI FAI IMPAZZIRE,5242097,"BLANCO, Sfera Ebbasta",127364,1x3Qb8np6S1UvpSLthwEJN,6/17/2021,2021,6,17,7/16/2021,2021,7,16,83,0.477,0.844,-4.87,0.046,0.003,0.137,169.941,220235,0.203,B,italian hip hop, italian pop,,,,,,,,,
17,10,5/21/2021,2021,5,21,"jealousy, jealousy",11287301,Olivia Rodrigo,6266514,0MMyJUC3WNnFS1lit5pTjk,5/21/2021,2021,5,21,7/23/2021,2021,7,23,90,0.695,0.575,-6.334,0.116,0.198,0.061,163.929,173160,0.699,A#/Bb,pop,,,,,,,,,,
177,1,9/25/2020,2020,9,25,Afterthought,4977405,"Joji, BENEE",4759367,6zvqq50PL7io0rprbkrYc9,9/25/2020,2020,9,25,9/25/2020,2020,9,25,67,0.668,0.547,-8.024,0.035,0.398,0.093,83.5,194871,0.192,C#/Db,alternative r&b, viral pop,,,,,,,,,
116,1,5/8/2020,2020,5,8,RONCA FREESTYLE,5784075,Bad Bunny,36177712,3XZeOzJ9tqnu58YP6cqApI,5/10/2020,2020,5,10,5/8/2020,2020,5,8,64,0.856,0.656,-6.483,0.131,0.165,0.1,90.041,150060,0.586,F,latin, reggaeton, trap latino,,,,,,,,
139,2,7/3/2020,2020,7,3,YAYA,4729070,6ix9ine,6514102,6EfBMJQwe2xLgldra6DaYp,7/3/2020,2020,7,3,7/10/2020,2020,7,10,60,0.672,0.733,-5.377,0.057,0.003,0.199,105.043,149857,0.354,B,emo rap, rap,,,,,,,,,
139,1,4/9/2021,2021,4,9,Ruff Ryders' Anthem,5988511,DMX,2815928,1BKT2I9x4RGKaKqW4up34s,5/1/1998,1998,5,1,4/9/2021,2021,4,9,72,0.88,0.577,-8.093,0.302,0.056,0.201,90.991,214440,0.74,A#/Bb,east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap,,,,,
89,7,12/27/2019,2019,12,27,Loco Contigo (feat. J. Balvin & Tyga),5013732,"DJ Snake, J Balvin",7408249,6osaMSJh9NguagEDQcZaKx,7/25/2019,2019,7,25,2/7/2020,2020,2,7,77,0.694,0.758,-2.986,0.218,0.278,0.102,192.091,185195,0.371,B,dance pop, edm, electronic trap, pop, pop dance,,,,,,
109,2,10/9/2020,2020,10,9,"Baby, I'm Jealous (feat. Doja Cat)",4870203,Bebe Rexha,6569150,2fTdRdN73RgIgcUZN33dvt,10/9/2020,2020,10,9,10/16/2020,2020,10,16,69,0.737,0.867,-2.259,0.046,0.04,0.32,98.05,175873,0.506,B,dance pop, electropop, pop, post-teen pop,,,,,,,
88,31,1/29/2021,2021,1,29,Hello (feat. A Boogie Wit da Hoodie),5323062,Pop Smoke,6852509,2r6OAV3WsYtXuXjvJ1lIDi,7/20/2020,2020,7,20,4/2/2021,2021,4,2,82,0.905,0.647,-5.065,0.107,0.019,0.282,130.97,190534,0.367,A#/Bb,brooklyn drill,,,,,,,,,,
116,1,2/14/2020,2020,2,14,Confirmation,6520106,Justin Bieber,48544923,60brXKLTC15vK0av5gIldm,2/14/2020,2020,2,14,2/14/2020,2020,2,14,58,0.438,0.315,-8.186,0.038,0.608,0.151,190.064,170587,0.449,G#/Ab,canadian pop, pop, post-teen pop,,,,,,,,
43,2,11/27/2020,2020,11,27,LA DROGA,5375449,Bad Bunny,36177712,67ACYA3UI6QMNtHX6b34wX,11/27/2020,2020,11,27,12/4/2020,2020,12,4,70,0.643,0.727,-5.506,0.039,0.044,0.123,90.019,162299,0.295,C#/Db,latin, reggaeton, trap latino,,,,,,,,
86,5,7/3/2020,2020,7,3,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",4583475,Ty Dolla $ign,3866304,3Q5cLvkKsHJvYltf8k7HkO,10/22/2020,2020,10,22,7/31/2020,2020,7,31,71,0.818,0.598,-5.948,0.113,0.057,0.634,111.052,231618,0.331,A#/Bb,hip hop, pop, pop rap, r&b, southern hip hop, trap, trap soul,,,,
186,1,4/16/2021,2021,4,16,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,5159208,Os Barões Da Pisadinha,4271775,2SUPbyD77tJuOUbqbxct6l,2/19/2021,2021,2,19,4/16/2021,2021,4,16,80,0.593,0.932,-2.324,0.053,0.302,0.133,171.977,147876,0.913,G#/Ab,forro, piseiro,,,,,,,,,
4,29,11/20/2020,2020,11,20,Life Goes On,6142975,BTS,37106176,249gnXrbfmV8NG6jTEMSwD,11/20/2020,2020,11,20,7/9/2021,2021,7,9,84,0.566,0.716,-5.733,0.042,0.007,0.37,81.068,207481,0.45,C#/Db,k-pop, k-pop boy group,,,,,,,,,
52,5,12/18/2020,2020,12,18,Santa Baby,5687085,Kylie Minogue,1324920,0cM5URUqqQTpJWonmdzF1J,11/30/2010,2010,11,30,12/25/2020,2020,12,25,42,0.685,0.391,-7.183,0.044,0.744,0.142,87.101,202547,0.443,C#/Db,australian dance, australian pop, dance pop, electropop, eurodance, europop, new wave pop, pop,,,
79,2,7/3/2020,2020,7,3,Something Special,4535580,Pop Smoke,6852509,5kkaSMcf4BFlhRRICCKZb6,7/3/2020,2020,7,3,7/10/2020,2020,7,10,72,0.739,0.616,-6.963,0.034,0.252,0.101,91.071,158466,0.654,G,brooklyn drill,,,,,,,,,,
54,3,12/11/2020,2020,12,11,Show Out (with Skepta & Pop Smoke),5209372,Kid Cudi,5002317,5CFJRZRq6sdKKtRwNPWbYv,12/11/2020,2020,12,11,12/25/2020,2020,12,25,76,0.619,0.589,-6.531,0.124,0.43,0.378,143.896,174960,0.158,C#/Db,hip hop, ohio hip hop, pop rap, rap,,,,,,,
83,3,12/18/2020,2020,12,18,Have Yourself A Merry Little Christmas,9548924,Sam Smith,17097317,1Qi2wh8fFgDV7tl4Sj3f2K,12/5/2014,2014,12,5,12/18/2020,2020,12,18,46,0.438,0.178,-9.402,0.041,0.957,0.316,75.248,170964,0.344,F,dance pop, pop, post-teen pop, uk pop,,,,,,,
97,1,6/4/2021,2021,6,4,Hats Off (feat. Travis Scott),7324233,"Lil Baby, Lil Durk",7805880,4lUmnwRybYH7mMzf16xB0y,6/4/2021,2021,6,4,6/4/2021,2021,6,4,81,0.596,0.65,-5.167,0.337,0.138,0.14,133.997,257428,0.188,A,atl hip hop, atl trap, rap, trap,,,,,,,
3,28,4/2/2021,2021,4,2,Astronaut In The Ocean,14174752,Masked Wolf,365975,3Ofmpyhv5UAQ70mENzB277,1/6/2021,2021,1,6,7/23/2021,2021,7,23,89,0.778,0.695,-6.865,0.091,0.175,0.15,149.996,132780,0.472,E,australian hip hop,,,,,,,,,,
139,1,5/22/2020,2020,5,22,TOP FLOOR (feat. Travis Scott),5193309,Gunna,3337982,4YhJ3a6kBPGJWX4Ek77sDd,5/22/2020,2020,5,22,5/22/2020,2020,5,22,63,0.823,0.504,-8.65,0.16,0.206,0.417,112.985,169907,0.481,G#/Ab,atl hip hop, hip hop, melodic rap, rap, trap,,,,,,
127,1,4/10/2020,2020,4,10,Shotz Fired,5291167,Bonez MC,1683006,0dy5NFDnx5fuZvE8ZXEX35,4/9/2020,2020,4,9,4/10/2020,2020,4,10,59,0.839,0.594,-9.087,0.139,0.249,0.165,76.007,179844,0.58,C,german hip hop, hamburg hip hop,,,,,,,,,
112,28,3/20/2020,2020,3,20,Maniac,5044929,Conan Gray,3799104,6KfoDhO4XUWSbnyKjNp9c4,3/20/2020,2020,3,20,3/5/2021,2021,3,5,82,0.628,0.639,-5.46,0.044,0.002,0.354,108.045,185773,0.493,G#/Ab,alt z, bedroom pop, electropop, indie pop, pop, post-teen pop,,,,,
60,1,3/19/2021,2021,3,19,Love You Different (feat. BEAM),10024729,Justin Bieber,48544923,27UcQ6dAvQrgH9C880rCM3,3/19/2021,2021,3,19,3/19/2021,2021,3,19,66,0.759,0.584,-6.655,0.06,0.065,0.16,127.138,186696,0.374,G#/Ab,canadian pop, pop, post-teen pop,,,,,,,,
148,7,1/3/2020,2020,1,3,MIDDLE CHILD,4836113,J. Cole,14103694,2JvzF1RMd7lE3KmFlsyZD8,1/23/2019,2019,1,23,2/7/2020,2020,2,7,79,0.837,0.364,-11.713,0.276,0.149,0.271,123.984,213594,0.463,G#/Ab,conscious hip hop, hip hop, north carolina hip hop, rap,,,,,,,
43,29,12/27/2019,2019,12,27,LA CANCIÓN,4959754,"J Balvin, Bad Bunny",29051363,0fea68AdmYNygeTGI4RC18,6/28/2019,2019,6,28,4/16/2021,2021,4,16,83,0.754,0.646,-5.795,0.317,0.152,0.108,176.089,242573,0.429,G,latin, reggaeton, reggaeton colombiano,,,,,,,,
15,24,1/3/2020,2020,1,3,My Oh My (feat. DaBaby),4413457,Camila Cabello,22698747,3yOlyBJuViE2YSGn3nVE1K,12/6/2019,2019,12,6,6/12/2020,2020,6,12,78,0.724,0.491,-6.024,0.03,0.018,0.089,105.046,170746,0.383,G#/Ab,dance pop, electropop, pop, post-teen pop,,,,,,,
58,1,5/29/2020,2020,5,29,Free Woman,9266945,Lady Gaga,18585963,4L6ihclQPu1hqP9r3WNJjQ,5/29/2020,2020,5,29,5/29/2020,2020,5,29,63,0.731,0.927,-3.634,0.078,0.023,0.187,119.006,191467,0.478,C,dance pop, pop, post-teen pop,,,,,,,,
83,1,5/8/2020,2020,5,8,SI ELLA SALE,7055918,Bad Bunny,36177712,1zaDh3qaGSeSmulNyWlUxm,5/10/2020,2020,5,10,5/8/2020,2020,5,8,63,0.869,0.727,-7.397,0.123,0.059,0.107,147.967,143240,0.92,G,latin, reggaeton, trap latino,,,,,,,,
17,6,12/18/2020,2020,12,18,Do They Know It's Christmas? - 1984 Version,10476212,Band Aid,4883,0247StOpd3AkeBQzANX4Zf,1/1/2004,2004,1,1,12/25/2020,2020,12,25,51,0.599,0.642,-6.936,0.036,0.164,0.099,115.412,222533,0.349,C,musical advocacy,,,,,,,,,,
198,1,12/27/2019,2019,12,27,Surtada - Remix Brega Funk,4607385,"Dadá Boladão, Tati Zaqui, OIK",208630,5F8ffc8KWKNawllr5WsW0r,9/25/2019,2019,9,25,12/27/2019,2019,12,27,60,0.832,0.55,-7.026,0.059,0.249,0.182,154.064,152784,0.881,F,brega funk, funk carioca,,,,,,,,,
15,24,7/17/2020,2020,7,17,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",6567755,"Tory Lanez, Jack Harlow",3828418,2MbdDtCv5LUVjYy9RuGTgC,6/24/2020,2020,6,24,12/4/2020,2020,12,4,80,0.904,0.723,-5.224,0.26,0.063,0.185,145.013,227478,0.835,B,canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, toronto rap, trap,,,
32,1,7/23/2021,2021,7,23,Don't Go Yet,13205250,Camila Cabello,22683756,1058fW9H3fZA6QjYCdOBad,7/23/2021,2021,7,23,7/23/2021,2021,7,23,88,0.666,0.796,-6.967,0.103,0.049,0.044,110.108,164842,0.61,A#/Bb,dance pop, electropop, pop, post-teen pop,,,,,,,
80,18,2/7/2020,2020,2,7,"Alone, Pt. II",4395061,"Alan Walker, Ava Max",29679430,0bMbDctzMmTyK2j74j3nF3,12/27/2019,2019,12,27,4/24/2020,2020,4,24,77,0.67,0.668,-4.306,0.042,0.536,0.133,88.033,179053,0.608,D#/Eb,electro house,,,,,,,,,,
